Time(Seconds),Length(Seconds),Label(string),Confidence(double)
0.0,0.1,cough,0.7849424766973886
25.400000000000002,0.1,cough,0.6418552056934637
26.3,0.1,cough,0.886097139480492
28.3,0.1,cough,0.937436375023557
29.700000000000003,0.1,cough,0.5794184604997271
36.2,0.1,cough,0.708175497455108
38.7,0.1,cough,0.7230027592920139
39.0,0.1,cough,0.7780240883084317
39.6,0.1,cough,0.8421568007868672
40.800000000000004,0.1,cough,0.6121157630525277
43.300000000000004,0.1,cough,0.6145272228549946
49.800000000000004,0.1,cough,0.6068031116261904
54.400000000000006,0.1,cough,0.7511103809325708
54.5,0.1,cough,0.7214746955546023
56.7,0.1,cough,0.692715727051001
60.800000000000004,0.1,cough,0.9273528194300823
